ANID ,Group,Sr,Co,B,U,Li,Ni,MgO,Na2O,Ti,Al2O3,K2O,Sc,Zn,CaCO3,Mo,SiO2,Rb,Cd,Mn,Ba,Be,La,Cr,Nd,Y,P,Cs,Eu,Sn,V,Bi,Pb,As,Sb
24CK01,RBR02,0.51,11.19,11.00,0.84,15.79,0.27,79.61,123.98,59.64,424.99,176.07,5.32,11.21,3269.71,5.29,991445.98,0.71,0.52,65.42,9.02,0.28,15.02,45.34,14.59,3.08,29.80,0.07,0.22,0.67,51.99,0.08,26.95,64.63,3.23
24CK02,RBR02,0.45,5.36,25.50,4.89,0.17,0.23,22.71,88.34,7.57,157.58,46.61,5.77,4.94,3577.93,0.19,995881.88,0.17,0.70,0.00,1.84,0.24,0.06,0.00,0.00,0.15,17.15,0.02,0.07,0.53,1.82,0.09,92.08,1.40,0.32
24CK03,RBR02,3.66,19.89,20.16,2.67,50.06,1.29,85.59,245.42,85.26,1000.16,269.13,7.05,20.74,3633.33,1.47,991932.56,0.56,2.09,19.50,14.66,0.00,4.45,0.00,5.07,0.87,55.06,0.09,0.25,11.63,29.61,0.60,12.66,9.04,1.51
24CK03(2),RBR02,3.04,15.76,16.72,2.46,28.36,1.35,118.85,199.94,56.99,1200.52,274.18,5.57,10.24,4143.38,0.92,992822.30,0.49,1.68,8.82,12.99,0.00,0.56,0.00,0.81,1.79,43.81,0.07,0.24,1.09,8.02,0.17,4.97,5.32,0.59
24CK04,RBR02,0.74,7.24,43.85,3.36,0.35,0.16,28.36,162.15,4.14,159.88,89.96,6.26,5.62,4116.11,0.32,995185.82,0.10,0.38,31.97,8.06,0.08,0.32,0.00,3.18,0.14,30.49,0.03,0.24,1.19,0.55,0.15,37.78,1.38,1.07
24CK05,RBR02,0.53,6.60,23.00,6.03,1.62,0.61,50.65,322.47,12.65,745.91,176.03,6.14,7.32,3842.45,0.75,991565.69,0.37,2.05,12.73,1.12,0.42,0.33,56.44,0.61,1.17,26.39,0.06,0.12,0.78,14.38,0.16,0.80,4.83,0.33
24CL01,RBR02,3.47,5.65,54.45,8.17,0.60,0.66,18.15,166.40,3.50,43.71,87.49,5.23,7.09,3966.96,0.59,995496.44,0.15,0.38,0.00,0.36,0.69,0.21,0.00,0.60,0.28,34.69,0.04,0.18,1.22,9.65,0.15,0.00,3.99,1.34
24CL01(2),RBR02,0.30,4.56,40.15,7.58,0.02,0.38,7.52,101.53,3.08,54.00,55.30,5.33,5.12,3268.24,0.00,996284.52,0.22,1.37,0.00,0.19,0.93,0.00,70.73,0.36,0.13,30.43,0.03,0.11,1.09,4.29,0.06,0.28,0.69,1.49
24CL02,RBR02,0.82,7.16,24.21,4.71,15.42,0.93,49.49,245.78,32.14,544.94,322.34,5.41,18.20,3748.28,0.83,993670.28,0.55,1.69,19.50,1.12,1.03,0.66,0.00,2.03,1.16,72.03,0.21,0.00,2.89,6.97,0.15,2.73,11.46,1.57
24CL02(2),RBR02,9.87,10.65,28.91,3.81,17.15,1.41,374.74,185.51,109.87,419.68,196.76,7.43,31.83,5215.94,2.29,992379.53,0.59,1.59,18.33,77.89,1.43,2.53,0.00,3.28,1.58,98.53,0.10,0.00,3.46,7.96,0.50,90.99,11.29,2.81
24CL03,RBR02,2.35,7.85,17.62,0.32,10.44,0.30,325.88,210.85,38.78,616.99,232.33,5.60,29.39,5685.63,0.95,990030.81,0.54,2.91,28.11,1.92,0.95,0.43,138.12,1.63,0.72,63.19,0.13,0.28,3.37,16.43,0.38,3.05,10.42,0.69
24CL04,RBR02,0.42,5.23,28.50,1.17,22.02,1.99,24.08,149.35,133.94,456.14,213.77,7.29,17.26,3068.90,2.51,990591.36,0.50,2.31,32.40,2.57,3.13,1.07,227.89,1.54,1.58,86.30,0.11,0.00,1.01,31.20,0.29,10.41,21.24,2.20
