ANID,Group,Sr,Co,B,U,Li,Ni,MgO,Na2O,Ti,Al2O3,K2O,Sc,Zn,CaCO3,Mo,SiO2,Rb,Cd,Mn,Ba,Be,La,Cr,Nb,Y,P,Cs,Eu,Sn,V,Bi,Pb,As,Sb
23G-A01,Rancho,9.057482207,8.523135766,50.90735117,1.669991925,12.14484616,0.609503191,365.26521,785.9251482,126.9794065,1310.582976,579.2465859,6.340460085,57.75198814,4897.81137,0.57695935,989077.8721,1.12031749,0.81721714,18.54619661,10.34834471,0.774109998,5.12186237,91.59333035,0.478436218,5.982612906,261.9187687,0.125687443,0,0.935759755,19.79876012,0.028926676,3.606404852,1.914661612,0.907375568
23G-A02,Rancho,4.013280667,1.886909999,38.65286288,1.556025154,15.53851645,17.08538947,250.8620655,501.7971522,136.5192483,1630.517646,442.877146,7.277820388,101.261096,4886.234187,1.045526424,974878.2315,0.646718046,0.423603096,16.53221863,8.376463729,0.617181325,1.71595339,55.65694542,0.310678383,6.472167143,107.8530267,0.10345864,0.219511439,0.825775337,33.55983245,0.059920376,8.418593562,6.876401597,0.934110388
23G-A03,Rancho,6.16470424,0.651047362,36.31521624,1.401546363,17.64359404,11.57408059,122.0756721,348.1922713,70.08934208,795.1456313,308.2358962,7.922800268,58.26588699,4805.123695,0.738911304,987542.8707,0.610698399,0.289129128,7.466445497,18.73427783,0.31913289,8.640674646,49.4183694,0.177400454,5.111287359,171.6863728,0.059600758,0.124220145,1.268695471,37.20921565,0.084954766,2.280188574,6.236571241,0.82098064
23G-A04,Rancho,19.70826205,1.304597695,85.44961379,4.322118542,3.4463554,11.74494979,227.9239794,653.7127177,147.5853378,1183.823755,981.3909959,16.25637133,131.1499323,11731.94884,1.620419866,979489.0598,1.410059331,2.582334062,37.58435645,16.30161504,2.821807203,16.7547743,0,0.871441009,27.51299654,1002.340085,0.261406887,1.338167429,5.818434262,37.13480521,0.602339393,7.56661791,24.95704453,4.070639332
23G-A05,Rancho,5.698561684,9.380237894,56.44278795,1.700864238,14.34727516,0.225443149,113.5090944,926.9068146,83.94767697,1302.815452,549.4008309,5.68265213,72.7271191,4095.335333,0.64801313,991963.568,0.976362688,0.954573548,7.542173108,40.17684502,0.625999178,7.843941035,35.97414343,0.704704881,13.10400541,54.89234672,0.119108915,0.301396113,1.123450695,10.19262033,0.11696061,1.907143588,2.603263637,0.502171781
23G-A07,Rancho,82.55420851,7.131691508,50.2690521,4.443154104,20.38359163,0.317251348,157.1733411,653.5208987,68.08574721,3040.520018,477.3075493,8.243178452,41.24241791,6879.564396,0.80437739,983865.1643,0.501761478,0,12.79168347,125.8605004,4.722597571,269.9438691,25.98810611,0.532301468,59.08493628,1958.660411,0.062538705,7.155628175,1.081221724,12.70960247,0.095358272,140.2983534,2.415256041,0.34303104
23G-A09,Rancho,9.190950624,0.291047734,36.01991392,1.683610257,14.01058101,6.949654489,192.6834042,674.9748762,124.7938524,1225.343205,472.9988145,7.079303726,61.6496461,6601.960914,0.658994803,988749.8471,0.588777818,0.74130884,4.600271079,4.968378353,0.360024101,4.326258391,47.35559085,0.466972732,8.403844787,449.1488419,0.074613082,0.27658569,2.972380736,12.22158284,0.08672591,1.555307029,2.24458477,0.156902079
23G-A10,Rancho,6.133361846,0.276462891,50.35129556,1.213185317,13.29894921,8.886118773,160.0657641,707.9831392,70.76200462,1021.701335,351.3937197,8.476724302,59.69929629,4439.486773,0.341994226,991304.6685,0.610138339,0.467150533,7.365099079,45.44661019,0.425393174,15.09475931,41.69442937,0.336311051,6.140894593,49.79321381,0.076383226,0.217869978,1.724029983,11.84946647,0.081468909,22.26707124,3.174333405,0.481728054
23G-A13,Rancho,1.8739919,0.199294127,40.94049407,0.780527847,7.502610058,8.387138388,109.8049044,328.5263682,31.74342125,547.0338646,315.1218452,8.002171627,37.31624717,6774.06233,0.09626557,991636.3288,0.373658346,0.37585639,4.549366877,2.669287151,0.232829642,0.276490053,22.58790153,0.323564927,0.39980244,17.91020093,0.048807335,0.047698545,1.516603976,2.57699933,0.06367484,6.396301845,1.242287373,0.260516966
23G-A16,Rancho,4.913942569,0.170505003,40.03630331,1.692667559,6.784701508,7.397974357,124.3951702,339.6463928,38.25896837,596.9222745,313.8819572,8.201836486,51.39065844,6531.073173,0.306453892,990573.5245,0.57730122,0.244185578,4.444523286,26.20106906,0.444716942,1.129150837,48.77730126,0.61473,1.759375476,78.54861799,0.057064751,0.126537148,2.516697273,16.71483453,0.255509066,32.0889612,2.050438632,0.53816651
23G-A22,Rancho,7.723286643,11.60495337,38.8588874,4.062028295,17.99170472,1.203231863,163.3165747,744.310721,177.975236,1197.353566,501.2342885,7.249643983,47.89076518,6629.899788,0.47033407,982724.6888,0.875264566,1.065905427,9.049958492,44.43731586,0.832986248,27.74241114,69.29537543,0.484737351,50.09535146,556.8255425,0.133197621,0.554182259,1.56666989,70.13889313,0.141485199,5.685917624,6.006744811,1.776637019
23G-A23,Rancho,5.233137765,0.44522439,31.23337519,1.792563591,34.94824148,10.15181717,140.5876061,472.6829392,113.3068436,1403.71531,456.829747,8.154047635,43.46615768,4819.628823,0.127690638,988771.8231,0.945337579,0.285600559,6.030338535,22.19038055,0.477881336,26.2348802,50.87507571,0.520449245,29.02774148,312.0295583,0.116470173,0.446215242,0.926648983,17.45127731,0.089030775,7.345792697,3.134254346,0.309976457
23G-A24,Rancho,67.37719596,1.738989749,18.28084026,1.324075306,27.7313558,16.36994585,1291.242617,605.8165469,54.09775967,1697.032775,460.4885513,7.034572893,131.9660479,49334.29916,0.671009097,942960.7489,0.938900325,0.833297883,17.17990418,10.54548988,0.489843152,3.820578568,56.74211387,0.237639566,8.621229245,110.4382752,0.072416446,0.081092128,1.201952265,46.93367133,0.105183159,12.14167914,28.24122485,1.255055055
23G-A25,Rancho,14.69573862,2.004592739,48.8029784,4.752161948,9.217814847,38.03361142,158.056511,478.5444119,171.4813249,672.6844976,361.4223349,7.145953622,77.92175657,9322.503647,9.7787071,967960.4371,0.516925541,1.375018814,37.92522624,7.623093945,1.669479325,5.451989097,0,0.46401734,52.25827014,1335.601038,0.123725928,0.285014308,3.679224463,104.3028622,0.283759749,3.78388317,18.60608816,7.329901851
23G-A26,Rancho,10.69689453,12.46756927,42.36715547,1.299492026,24.88069426,0.754367954,108.0652091,443.7717662,124.2229289,566.762528,335.2010167,8.120428957,27.45107472,5188.586658,1.253879691,986525.5776,0.577427109,0.937739137,24.84229711,108.6694615,0.999308943,3.114977694,54.24690522,0.534735679,5.083743472,73.12068536,0.073750728,0.373241292,3.341311092,39.59016806,0.323305913,11.28848899,6.962428918,1.192640399
23G-AA01,23G-AA,308.7839429,3.386612718,3.062934357,0.725432319,1.542401861,0.417392776,2228.525418,102.5760463,4.801682111,26.74580957,39.85445126,2.36706177,16.84220849,713340.09,0.250755018,282831.2094,0.198866761,0.573470112,55.1880293,162.3387706,1.324765676,0.155858264,21.97307773,0.169618201,0.426288148,29.38972197,0.025717987,0.080901927,0.202739953,5.339607315,0.09664595,10.31169351,3.823299875,0.274385204
23G-AA03,23G-AA,399.1920513,4.781785672,2.615072455,0.67561002,4.479384192,0.459721434,2521.56193,190.7712879,9.250264706,70.24389537,94.6608014,2.918597288,14.77655326,636905.6932,0.497661706,355211.5654,0.191709299,0.379379732,71.64057844,343.810792,0.525840042,1.092821857,25.59438989,0.14961479,2.025354274,35.32416489,0.060493369,0.071361002,0.330610875,5.594070309,0.041512216,24.75496621,4.323101657,0.70254889
23G-AA04,23G-AA,44.28965257,16.89793163,14.60472229,0.333214852,11.853808,0.864987741,91.98943945,190.4089802,13.85300499,143.8285811,179.8297979,7.39283059,28.49933694,10002.97875,1.733299061,985172.9526,0.407905014,1.921943872,24.28984304,271.5605379,2.774910603,0.569833934,0,0.284231606,0.733818967,47.91787327,0.086191984,0.406705491,0.616660383,32.41496336,0.140826937,3.1229081,8.071622425,2.543042396
23G-AA05,23G-AA,1.36209411,5.10830231,6.112103141,0.322827808,3.507934357,0.495245245,61.63834694,99.26455676,4.74246508,580.6895971,74.66844622,5.303940857,12.55486118,4028.889713,0.50886918,988387.9599,0.176423979,0.558609789,12.65334447,12.15581304,1.792273667,2.182520488,0,0.137685739,2.227205743,54.82691443,0.06494848,0.218904212,0.365100825,20.88830165,0.012279334,7.678116424,5.933416177,0.921851494
23G-AA06,23G-AA,3.807810714,7.102615977,25.98303255,0.50175801,1.951032865,1.758383845,44.70717837,129.2629939,17.82865174,64.171231,167.0957648,10.51551599,14.51916505,7832.632401,1.60160182,990704.8364,0.246787694,1.953504596,20.16305911,36.29504408,4.387410391,0.345905928,0,0.802497347,1.100102054,63.95858402,0,0.459315672,1.218751952,8.582306068,0.25049411,1.430586474,4.658597868,0.79332661
23G-AA07,23G-AA,1.559389715,6.980454124,14.40008095,0.81366119,1.423896225,0.919816675,33.74319434,112.9339582,25.44609146,104.3153726,158.1584427,5.815476805,15.06463378,4995.93866,1.331892673,991675.2268,0.307843108,1.462081638,11.80839429,11.77304448,1.40730639,0.642207625,0,0,2.470082256,73.65711856,0.097139089,0.343770376,1.013514579,23.53968688,0.160697054,2.476966956,8.080622413,1.144332896
23G-AA08,23G-AA,26.18270492,6.85844824,9.201690532,0.429719186,2.748857666,0.659931788,93.34163837,141.599288,22.02908281,88.10432683,77.07189338,6.611691563,23.73457164,24655.50536,0.552112823,973455.5498,0.302438019,1.894001194,36.82804392,614.3295758,1.944580869,0.124788724,36.95305799,0.435709916,0.255982354,46.60841957,0.176169486,0.178129999,1.175376979,3.927211558,0.666141544,66.31477723,4.443454058,0.763008726
23G-AA09,23G-AA,4.468608266,6.788686307,10.92722589,0.555303999,2.476578645,0.878853555,36.31185393,153.5500132,12.1599673,504.8813775,131.1389226,6.076735027,9.869029706,4275.10067,1.816832567,991831.2718,0.546248153,1.080988139,4.832966878,20.0841668,1.664784211,0.890278808,43.08095886,0.204271571,1.327076506,29.010493,0.134661859,0.254166176,0.913481964,15.13218099,0.11353066,2.029812857,3.181700552,1.452670815
23G-AA09(2),23G-AA,1.372278713,4.758099244,8.876673611,0.454786195,2.13792286,1.294079003,62.1645579,146.4240047,16.58676669,438.66806,140.8509656,6.694125472,12.37063013,4009.598446,1.722174768,991904.9529,0.654687196,2.072930669,5.147128898,0.670742205,1.745861817,0.546310896,60.14999746,0.425778717,2.393079775,43.13112464,0.103292418,0.243697799,0.590177928,13.84037155,0.098728643,2.039628793,3.781031318,0.631369538
23G-AA11,23G-AA,0.703764122,5.135598144,13.43737268,2.307836223,0.596730736,0.544937211,32.80514573,155.0114788,14.83979646,125.0264198,79.7922733,5.826073622,12.68958161,3668.583283,0.402269946,995578.1522,0.278932453,0.735984605,4.5111665,0.50901001,0.88551471,0.121228249,72.11718075,0,0.276309623,25.05604708,0.073347006,0.17304759,0.641374575,0.630105657,0.089879886,0.33167676,1.44205351,1.190111741
23G-AA11(2),23G-AA,1.138689531,5.277610921,13.01454302,2.111686704,0.684895702,0.614068416,38.09500331,153.1428326,7.944893532,204.1864468,91.54878088,5.817679791,12.79295306,3655.465633,0.346776228,995507.5672,0.24045332,1.26890894,0,0.595502542,0,0.522523189,28.57164726,0.195474852,0.267966352,40.72889971,0.042152454,0.149175426,0.402106203,0.805099414,0.185953983,0.361372973,2.392188452,0.475490012
