ANID,Group,Sr,Co,B,Ni,U,Li,MgO,Na2O,Ti,Sc,Al2O3,K2O,CaCO3,Zn,Mo,SiO2,Cd,Ba,Rb,Cr
23G-A01,Rancho,9.057482207,8.523135766,50.90735117,0.609503191,1.669991925,12.14484616,365.26521,785.9251482,126.9794065,6.340460085,1310.582976,579.2465859,4897.81137,57.75198814,0.57695935,989077.8721,0.81721714,10.34834471,1.12031749,91.59333035
23G-A02,Rancho,4.013280667,1.886909999,38.65286288,17.08538947,1.556025154,15.53851645,250.8620655,501.7971522,136.5192483,7.277820388,1630.517646,442.877146,4886.234187,101.261096,1.045526424,974878.2315,0.423603096,8.376463729,0.646718046,55.65694542
23G-A03,Rancho,6.16470424,0.651047362,36.31521624,11.57408059,1.401546363,17.64359404,122.0756721,348.1922713,70.08934208,7.922800268,795.1456313,308.2358962,4805.123695,58.26588699,0.738911304,987542.8707,0.289129128,18.73427783,0.610698399,49.4183694
23G-A04,Rancho,19.70826205,1.304597695,85.44961379,11.74494979,4.322118542,3.4463554,227.9239794,653.7127177,147.5853378,16.25637133,1183.823755,981.3909959,11731.94884,131.1499323,1.620419866,979489.0598,2.582334062,16.30161504,1.410059331,0
23G-A05,Rancho,5.698561684,9.380237894,56.44278795,0.225443149,1.700864238,14.34727516,113.5090944,926.9068146,83.94767697,5.68265213,1302.815452,549.4008309,4095.335333,72.7271191,0.64801313,991963.568,0.954573548,40.17684502,0.976362688,35.97414343
23G-A07,Rancho,82.55420851,7.131691508,50.2690521,0.317251348,4.443154104,20.38359163,157.1733411,653.5208987,68.08574721,8.243178452,3040.520018,477.3075493,6879.564396,41.24241791,0.80437739,983865.1643,0,125.8605004,0.501761478,25.98810611
23G-A09,Rancho,9.190950624,0.291047734,36.01991392,6.949654489,1.683610257,14.01058101,192.6834042,674.9748762,124.7938524,7.079303726,1225.343205,472.9988145,6601.960914,61.6496461,0.658994803,988749.8471,0.74130884,4.968378353,0.588777818,47.35559085
23G-A10,Rancho,6.133361846,0.276462891,50.35129556,8.886118773,1.213185317,13.29894921,160.0657641,707.9831392,70.76200462,8.476724302,1021.701335,351.3937197,4439.486773,59.69929629,0.341994226,991304.6685,0.467150533,45.44661019,0.610138339,41.69442937
23G-A13,Rancho,1.8739919,0.199294127,40.94049407,8.387138388,0.780527847,7.502610058,109.8049044,328.5263682,31.74342125,8.002171627,547.0338646,315.1218452,6774.06233,37.31624717,0.09626557,991636.3288,0.37585639,2.669287151,0.373658346,22.58790153
23G-A16,Rancho,4.913942569,0.170505003,40.03630331,7.397974357,1.692667559,6.784701508,124.3951702,339.6463928,38.25896837,8.201836486,596.9222745,313.8819572,6531.073173,51.39065844,0.306453892,990573.5245,0.244185578,26.20106906,0.57730122,48.77730126
