ANID,Group,La,Lu,Nd,Sm,U,Yb,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V
A01,Rancho,2.78 ,0.02 ,1.84 ,0.38 ,1.37 ,0.16 ,1.77 ,0.07 ,7.90 ,0.02 ,0.07 ,352.81 ,0.04 ,1.11 ,0.44 ,0.13 ,0.22 ,3.13 ,0.00 ,0.05 ,0.06 ,1.69 ,10.75 ,1305.10 ,27.63 ,685.74 ,0.32 ,405.62 ,3.35 ,394.38 ,0.00 ,6.60 
A02,Rancho,12.91 ,0.09 ,8.04 ,1.48 ,2.02 ,0.59 ,11.35 ,0.26 ,11.91 ,0.01 ,0.29 ,1515.60 ,0.07 ,4.63 ,0.48 ,0.15 ,0.25 ,7.15 ,0.01 ,0.24 ,0.09 ,3.15 ,18.99 ,1975.00 ,74.00 ,421.48 ,1.11 ,252.90 ,2.19 ,450.72 ,0.00 ,11.38 
A03,Rancho,3.29 ,0.03 ,2.13 ,0.43 ,1.55 ,0.12 ,1.94 ,0.11 ,10.34 ,0.02 ,0.07 ,469.86 ,0.03 ,1.37 ,0.38 ,0.13 ,0.15 ,14.30 ,0.00 ,0.05 ,0.03 ,2.19 ,11.54 ,1498.60 ,24.30 ,12750.00 ,0.17 ,163.58 ,3.34 ,261.50 ,0.00 ,6.01 
A04,Rancho,2.81 ,0.03 ,1.88 ,0.40 ,1.58 ,0.16 ,1.55 ,0.05 ,5.42 ,0.01 ,0.07 ,348.43 ,0.03 ,0.77 ,0.27 ,0.17 ,0.18 ,4.33 ,0.00 ,0.05 ,0.04 ,1.65 ,11.23 ,1386.40 ,27.48 ,627.34 ,0.45 ,0.00 ,2.16 ,340.38 ,0.00 ,4.46 
A05,Rancho,17.42 ,0.07 ,13.20 ,2.10 ,2.07 ,0.49 ,18.00 ,0.13 ,11.31 ,0.01 ,0.39 ,629.06 ,0.06 ,7.30 ,0.39 ,0.09 ,0.22 ,4.89 ,0.00 ,0.26 ,0.09 ,1.31 ,18.66 ,1635.40 ,47.27 ,293.96 ,1.12 ,388.62 ,2.27 ,395.51 ,0.00 ,7.05 
A07,Rancho,11.10 ,0.06 ,7.43 ,1.30 ,2.08 ,0.36 ,10.80 ,0.18 ,11.60 ,0.01 ,0.24 ,1027.90 ,0.06 ,2.77 ,0.38 ,0.19 ,0.23 ,6.14 ,0.01 ,0.17 ,0.06 ,2.40 ,18.00 ,1922.70 ,42.41 ,492.58 ,0.73 ,430.23 ,3.15 ,371.02 ,49.22 ,11.64 
A09,Rancho,2.02 ,0.02 ,1.28 ,0.34 ,1.25 ,0.15 ,1.08 ,0.10 ,6.93 ,0.01 ,0.06 ,453.96 ,0.03 ,0.00 ,0.23 ,0.12 ,0.20 ,3.43 ,0.00 ,0.05 ,0.04 ,2.39 ,8.68 ,1343.90 ,13.81 ,756.42 ,0.24 ,237.28 ,2.46 ,264.11 ,44.15 ,4.89 
A10,Rancho,75.54 ,0.21 ,57.40 ,10.00 ,1.12 ,2.04 ,85.48 ,0.10 ,7.95 ,0.01 ,1.92 ,630.53 ,0.04 ,31.92 ,0.07 ,0.28 ,0.23 ,8.86 ,0.00 ,1.27 ,0.06 ,6.78 ,38.23 ,1666.00 ,37.66 ,351.35 ,7.47 ,0.00 ,2.07 ,442.72 ,0.00 ,8.78 
A13,Rancho,8.15 ,0.05 ,4.21 ,0.73 ,1.43 ,0.28 ,7.18 ,0.11 ,9.60 ,0.01 ,0.14 ,290.50 ,0.02 ,3.65 ,0.17 ,0.15 ,0.13 ,2.40 ,0.00 ,0.12 ,0.03 ,2.22 ,11.26 ,1313.50 ,0.00 ,377.22 ,0.48 ,104.99 ,2.58 ,233.31 ,0.00 ,7.20 
A22,Rancho,4.06 ,0.04 ,2.63 ,0.57 ,2.18 ,0.26 ,3.09 ,0.12 ,12.98 ,0.01 ,0.10 ,559.40 ,0.05 ,1.99 ,0.38 ,0.14 ,0.23 ,4.50 ,0.00 ,0.09 ,0.06 ,1.88 ,15.63 ,1878.40 ,24.06 ,723.16 ,0.59 ,0.00 ,6.71 ,351.20 ,0.00 ,10.56 
