ANID ,Group,La,Lu,Nd,Sm,U,Yb,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V
23G-A01,Rancho,5.12,0.08,1.95,0.85,1.67,0.5,1.89,8.52,91.59,0.13,0,1555.24,0.31,0.61,1.12,0.91,6.34,9.06,0.12,0.17,0.21,57.75,4.61,693.56,10.35,1961.08,0.81,480.89,18.55,583,126.98,19.8
23G-A02,Rancho,1.72,0.13,1.38,0.78,1.56,0.67,1.57,1.89,55.66,0.1,0.22,11708.32,0.26,17.09,0.65,0.93,7.28,4.01,0.12,0.21,0.1,101.26,3.6,862.87,8.38,1956.45,0.53,367.68,16.53,372.23,136.52,33.56
23G-A03,Rancho,8.64,0.17,4.22,1.45,1.4,0.8,6.22,0.65,49.42,0.06,0.12,3846.38,0.2,11.57,0.61,0.82,7.92,6.16,0.09,0.18,0.08,58.27,1.71,420.79,18.73,1923.97,0.91,255.9,7.47,258.29,70.09,37.21
23G-A04,Rancho,16.75,0.61,20.14,3.56,4.32,3.69,13.22,1.3,0,0.26,1.34,2642.4,0,11.74,1.41,4.07,16.26,19.71,0,1.88,0.93,131.15,5.05,626.48,16.3,4697.47,8.42,814.75,37.58,484.92,147.59,37.13
23G-A05,Rancho,7.84,0.12,3.9,1.45,1.7,0.42,13.62,9.38,35.97,0.12,0.3,400.21,0.31,0.23,0.98,0.5,5.68,5.7,0,0.29,0.19,72.73,4.31,689.45,40.18,1639.77,0.57,456.11,7.54,687.58,83.95,10.19
23G-A07,Rancho,269.94,0.86,141.54,26.31,4.44,4.94,404.6,7.13,25.99,0.06,7.16,908.69,0.4,0.32,0.5,0.34,8.24,82.55,0,4.13,1.44,41.24,3.76,1609.04,125.86,2754.58,18.77,396.26,12.79,484.78,68.09,12.71
23G-A09,Rancho,4.33,0.18,2.95,0.91,1.68,0.24,2.21,0.29,47.36,0.07,0.28,867.42,0,6.95,0.59,0.16,7.08,9.19,0,0.13,0.17,61.65,2.95,648.45,4.97,2643.43,1.21,392.68,4.6,500.7,124.79,12.22
23G-A10,Rancho,15.09,0.17,4.68,1.34,1.21,0.59,17.31,0.28,41.69,0.08,0.22,1065.71,0.29,8.89,0.61,0.48,8.48,6.13,0.26,0.15,0.13,59.7,4.02,540.68,45.45,1777.57,1.31,291.73,7.37,525.18,70.76,11.85
23G-A13,Rancho,0.28,0.04,0.23,0.32,0.78,0.15,0.56,0.2,22.59,0.05,0.05,49.97,0,8.39,0.37,0.26,8,1.87,0.06,0.04,0.04,37.32,1.77,289.49,2.67,2712.33,0.14,261.61,4.55,243.7,31.74,2.58
23G-A22,Rancho,27.74,0.35,21.92,4.31,4.06,2.95,20.92,11.6,69.3,0.13,0.55,4750.53,0.3,1.2,0.88,1.78,7.25,7.72,0,0.87,0.36,47.89,2.42,633.64,44.44,2654.61,5.36,416.12,9.05,552.13,177.98,70.14
23G-A23,Rancho,26.23,0.27,10.83,1.92,1.79,1.53,19.35,0.45,50.88,0.12,0.45,2191.55,0,10.15,0.95,0.31,8.15,5.23,0,0.51,0.46,43.47,2.07,742.85,22.19,1929.78,2.75,379.26,6.03,350.64,113.31,17.45
23G-A24,Rancho,3.82,0.19,1.94,0.9,1.32,0.56,2.52,1.74,56.74,0.07,0.08,2070.67,0,16.37,0.94,1.26,7.03,67.38,0,0.08,0.15,131.97,2.69,898.07,10.55,19753.45,0.52,382.3,17.18,449.39,54.1,46.93
23G-A25,Rancho,5.45,0.65,1.63,0,4.75,1.31,5.98,2,0,0.12,0.29,13296.48,0,38.03,0.52,7.33,7.15,14.7,0,0.22,0.44,77.92,1.65,355.98,7.62,3732.73,1.42,300.05,37.93,354.98,171.48,104.3
23G-A26,Rancho,3.11,0,3.27,1.39,1.3,1.05,2.47,12.47,54.25,0.07,0.37,4345.13,0.48,0.75,0.58,1.19,8.12,10.7,0,0.17,0.2,27.45,2.04,299.93,108.67,2077.51,1.01,278.28,24.84,329.19,124.22,39.59
23G-F01,23G-F,1.13,0.19,1.46,0.62,0.57,0,2.08,8.85,0,0.08,0.14,1772.79,0,0.41,0.85,1.34,5.82,1.02,0,0.13,0.31,21.51,2.24,381.38,5.28,1527.38,0.39,441.03,3.95,302.2,99.9,11.63
23G-F02,23G-F,0.21,0,0.28,0.23,0.28,0.17,0.35,0.21,30.89,0.03,0.06,1732.47,0,8.26,0.49,0.52,8.21,2.04,0,0,0.06,15.1,1.49,289.49,18.37,1505.22,0,227.58,1.9,190.88,34.32,12.55
23G-F04,23G-F,0.84,0,0.86,0.58,0.94,0.34,0.64,0.2,53.24,0.05,0.11,778.53,0.32,8.37,0.84,0.1,8.21,3,0.15,0.08,0.11,13.28,1.91,429.76,7.98,1711.53,0.49,335.7,6.88,278.96,91.38,5.14
23G-F05,23G-F,0.12,0.05,0.25,0.31,0.39,0.22,0.45,0.39,39.35,0.05,0.15,1204.57,0.43,9.27,0.66,1.07,7.78,0.94,0,0,0.06,23.48,1.5,278.23,1.49,1656.41,0.43,268.72,5.37,231.98,47.8,5.22
23G-F06,23G-F,9.36,0.06,8.65,2.5,0.49,0.26,6.89,0.36,35.6,0.05,0.47,1573.08,0,8.2,0.86,0.52,7.84,2.57,0.11,0.29,0.2,17.34,2.06,321.02,5.19,1576.91,1.52,323.66,3.47,260.62,90.96,7
23G-F07,23G-F,2.92,0.09,1.2,0.62,0.98,0.42,1.6,15.47,39.6,0.07,0.08,2154.11,0.54,0.71,1.57,0.97,5.88,22.47,0.06,0.15,0.1,298.36,25.21,813.92,14.93,7883.26,0.35,798.6,7.92,788.23,98.38,12.57
